id_venta,fecha,cliente_id,cantidad,stock,nombre,categoria,precio
251,25/04/2024,158,1,2099,Queso rallado,Lacteos,15400
252,07/09/2024,222,3,3731,Papas fritas,Congelados,6600
253,18/11/2024,14,2,4043,Medialunas,Panaderia,2800
254,28/09/2024,324,1,2455,Cerveza,Bebidas,9200
255,24/08/2024,237,4,3545,Cebolla,Frutas y Verduras,3400
256,24/11/2024,34,5,3140,Milanesa,Carniceria,13000
257,29/07/2024,249,5,3637,Jugos de frutas,Bebidas,7600
258,12/08/2024,42,1,2771,Galletitas de agua,Galletitas y Snacks,4200
259,21/04/2024,288,3,5057,Galletitas de chocolate,Galletitas y Snacks,5000
260,06/06/2024,17,1,3125,Facturas,Panaderia,9900
261,03/10/2024,74,5,5137,Asado,Carniceria,22800
262,03/02/2024,156,3,2837,Papas chips,Galletitas y Snacks,6800
263,19/05/2024,130,1,3358,Yogur,Lacteos,4200
264,07/12/2024,275,4,2908,Empanadas,Congelados,10800
265,30/03/2024,257,1,3637,Jugos de frutas,Bebidas,7600
266,18/08/2024,78,5,3358,Yogur,Lacteos,4200
267,24/02/2024,273,1,2228,Pan integral,Panaderia,10000
268,28/06/2024,119,5,5057,Galletitas de chocolate,Galletitas y Snacks,5000
269,06/12/2024,66,2,4043,Medialunas,Panaderia,2800
270,03/05/2024,326,6,3140,Milanesa,Carniceria,13000
271,28/02/2024,66,6,5137,Asado,Carniceria,22800
272,02/02/2024,60,6,3167,Queso cremoso,Lacteos,13800
273,25/09/2024,130,4,2099,Queso rallado,Lacteos,15400
274,03/10/2024,105,5,3731,Papas fritas,Congelados,6600
275,04/03/2024,27,5,1726,Salchicha,Carniceria,9000
276,16/08/2024,103,1,3167,Queso cremoso,Lacteos,13800
277,05/02/2024,159,6,2099,Queso rallado,Lacteos,15400
278,08/11/2024,180,3,4041,Tomates,Frutas y Verduras,5200
279,28/03/2024,54,4,2429,Costilla de cerdo,Carniceria,11400
280,23/07/2024,279,1,3358,Yogur,Lacteos,4200
281,24/05/2024,2,5,4929,Manteca,Lacteos,4500
282,04/08/2024,189,2,3167,Queso cremoso,Lacteos,13800
283,02/11/2024,292,5,2800,Zanahorias,Frutas y Verduras,2600
284,03/06/2024,176,5,4578,Lentejas,Conservas,2600
285,11/10/2024,239,2,4043,Medialunas,Panaderia,2800
286,23/05/2024,317,4,1619,Pan frances,Panaderia,6500
287,02/05/2024,70,6,3731,Papas fritas,Congelados,6600
288,04/07/2024,88,3,5057,Galletitas de chocolate,Galletitas y Snacks,5000
289,03/10/2024,225,2,2771,Galletitas de agua,Galletitas y Snacks,4200
290,05/03/2024,123,4,2771,Galletitas de agua,Galletitas y Snacks,4200
291,22/07/2024,79,6,1506,Garbanzos,Conservas,2900
292,22/09/2024,221,6,1688,Hamburgesas congeladas,Congelados,7600
293,31/03/2024,310,3,1437,Arroz,Conservas,3400
294,15/02/2024,85,3,2908,Empanadas,Congelados,10800
295,27/03/2024,223,6,5057,Galletitas de chocolate,Galletitas y Snacks,5000
296,26/09/2024,279,6,2429,Costilla de cerdo,Carniceria,11400
297,17/02/2024,302,4,3167,Queso cremoso,Lacteos,13800
298,04/03/2024,158,3,3327,Leche,Lacteos,9800
299,07/09/2024,60,2,3637,Jugos de frutas,Bebidas,7600
300,06/06/2024,258,3,3358,Yogur,Lacteos,4200
301,13/10/2024,326,4,2800,Zanahorias,Frutas y Verduras,2600
302,08/06/2024,155,2,3125,Facturas,Panaderia,9900
303,10/05/2024,216,1,3167,Queso cremoso,Lacteos,13800
304,18/09/2024,309,6,4929,Manteca,Lacteos,4500
305,03/08/2024,78,6,1726,Salchicha,Carniceria,9000
306,02/07/2024,14,2,2182,Atun enlatado,Conservas,5000
307,16/10/2024,50,1,4978,Agua mineral,Bebidas,5000
308,30/07/2024,153,2,2455,Cerveza,Bebidas,9200
309,14/06/2024,148,3,2837,Papas chips,Galletitas y Snacks,6800
310,12/10/2024,152,3,1640,Pizza congelada,Congelados,12400
311,06/03/2024,68,6,2908,Empanadas,Congelados,10800
312,08/06/2024,101,2,2182,Atun enlatado,Conservas,5000
313,02/08/2024,250,1,1363,Vino tinto,Bebidas,10800
314,27/10/2024,122,3,3140,Milanesa,Carniceria,13000
315,12/08/2024,182,2,3125,Facturas,Panaderia,9900
316,13/12/2024,119,5,2455,Cerveza,Bebidas,9200
317,28/09/2024,258,6,4068,Chorizo,Carniceria,9000
318,10/12/2024,258,5,3327,Leche,Lacteos,9800
319,28/11/2024,199,4,1619,Pan frances,Panaderia,6500
320,06/09/2024,93,3,2182,Atun enlatado,Conservas,5000
321,28/03/2024,205,4,1437,Arroz,Conservas,3400
322,09/09/2024,97,6,4051,Pollo,Carniceria,14800
323,26/07/2024,295,3,3545,Cebolla,Frutas y Verduras,3400
324,30/08/2024,206,3,3167,Queso cremoso,Lacteos,13800
325,12/12/2024,323,2,3167,Queso cremoso,Lacteos,13800
326,17/10/2024,132,3,5057,Galletitas de chocolate,Galletitas y Snacks,5000
327,04/04/2024,203,4,4978,Agua mineral,Bebidas,5000
328,13/04/2024,167,3,3731,Papas fritas,Congelados,6600
329,22/05/2024,234,2,2228,Pan integral,Panaderia,10000
330,20/06/2024,63,3,2228,Pan integral,Panaderia,10000
331,29/10/2024,157,2,1437,Arroz,Conservas,3400
332,16/12/2024,309,3,3125,Facturas,Panaderia,9900
333,02/08/2024,26,1,1437,Arroz,Conservas,3400
334,16/12/2024,286,4,2908,Empanadas,Congelados,10800
335,19/07/2024,277,2,1726,Salchicha,Carniceria,9000
336,02/08/2024,80,6,1541,Lechugas,Frutas y Verduras,3400
337,14/05/2024,247,1,3637,Jugos de frutas,Bebidas,7600
338,22/02/2024,103,2,1619,Pan frances,Panaderia,6500
339,03/04/2024,81,1,2800,Zanahorias,Frutas y Verduras,2600
340,14/04/2024,271,2,4041,Tomates,Frutas y Verduras,5200
341,23/11/2024,315,4,4929,Manteca,Lacteos,4500
342,24/02/2024,109,3,4068,Chorizo,Carniceria,9000
343,19/06/2024,14,1,2455,Cerveza,Bebidas,9200
344,27/07/2024,151,2,4041,Tomates,Frutas y Verduras,5200
345,13/11/2024,132,6,1688,Hamburgesas congeladas,Congelados,7600
346,22/08/2024,92,4,4769,Manies,Galletitas y Snacks,4400
347,09/12/2024,204,1,3327,Leche,Lacteos,9800
348,02/09/2024,248,4,4051,Pollo,Carniceria,14800
349,02/02/2024,203,3,3358,Yogur,Lacteos,4200
350,12/05/2024,98,3,4769,Manies,Galletitas y Snacks,4400
351,02/02/2024,45,4,3140,Milanesa,Carniceria,13000
352,16/12/2024,286,6,1640,Pizza congelada,Congelados,12400
353,30/04/2024,181,4,2429,Costilla de cerdo,Carniceria,11400
354,11/04/2024,195,6,2455,Cerveza,Bebidas,9200
355,16/12/2024,308,5,1640,Pizza congelada,Congelados,12400
356,02/08/2024,278,6,3358,Yogur,Lacteos,4200
357,07/06/2024,52,4,4051,Pollo,Carniceria,14800
358,21/08/2024,193,6,2099,Queso rallado,Lacteos,15400
359,12/10/2024,56,1,4720,Bananas,Frutas y Verduras,5800
360,16/12/2024,139,1,1619,Pan frances,Panaderia,6500
361,15/04/2024,226,6,1541,Lechugas,Frutas y Verduras,3400
362,09/03/2024,30,2,4043,Medialunas,Panaderia,2800
363,10/10/2024,219,2,3731,Papas fritas,Congelados,6600
364,04/07/2024,128,1,4769,Manies,Galletitas y Snacks,4400
365,03/03/2024,90,5,3140,Milanesa,Carniceria,13000
366,08/11/2024,111,4,1506,Garbanzos,Conservas,2900
367,21/07/2024,163,3,5137,Asado,Carniceria,22800
368,24/09/2024,276,2,5057,Galletitas de chocolate,Galletitas y Snacks,5000
369,09/12/2024,96,1,2429,Costilla de cerdo,Carniceria,11400
370,09/06/2024,194,4,2800,Zanahorias,Frutas y Verduras,2600
371,14/04/2024,105,2,4929,Manteca,Lacteos,4500
372,09/07/2024,15,3,3327,Leche,Lacteos,9800
373,19/09/2024,41,3,1688,Hamburgesas congeladas,Congelados,7600
374,11/12/2024,17,6,5137,Asado,Carniceria,22800
375,24/06/2024,248,6,1437,Arroz,Conservas,3400
376,25/06/2024,201,5,3140,Milanesa,Carniceria,13000
377,19/12/2024,262,3,1619,Pan frances,Panaderia,6500
378,25/03/2024,199,1,1640,Pizza congelada,Congelados,12400
379,12/04/2024,67,4,3358,Yogur,Lacteos,4200
380,21/05/2024,24,5,4929,Manteca,Lacteos,4500
381,30/07/2024,140,4,2455,Cerveza,Bebidas,9200
382,03/03/2024,208,1,1619,Pan frances,Panaderia,6500
383,01/06/2024,75,3,1640,Pizza congelada,Congelados,12400
384,19/12/2024,146,6,3167,Queso cremoso,Lacteos,13800
385,04/09/2024,257,2,4041,Tomates,Frutas y Verduras,5200
386,17/02/2024,250,6,5057,Galletitas de chocolate,Galletitas y Snacks,5000
387,23/12/2024,180,2,3383,Manzanas,Frutas y Verduras,5200
388,16/08/2024,222,3,2771,Galletitas de agua,Galletitas y Snacks,4200
389,16/12/2024,174,4,4068,Chorizo,Carniceria,9000
390,01/12/2024,74,4,1688,Hamburgesas congeladas,Congelados,7600
391,14/07/2024,34,3,3189,Tortas,Panaderia,12200
392,26/07/2024,150,5,4043,Medialunas,Panaderia,2800
393,23/05/2024,195,4,1363,Vino tinto,Bebidas,10800
394,12/10/2024,293,6,2908,Empanadas,Congelados,10800
395,07/04/2024,75,5,5057,Galletitas de chocolate,Galletitas y Snacks,5000
396,20/12/2024,295,5,3327,Leche,Lacteos,9800
397,24/05/2024,231,6,3140,Milanesa,Carniceria,13000
398,08/08/2024,123,1,3731,Papas fritas,Congelados,6600
399,16/04/2024,115,4,2182,Atun enlatado,Conservas,5000
400,30/09/2024,167,2,1437,Arroz,Conservas,3400
401,07/11/2024,27,6,4978,Agua mineral,Bebidas,5000
402,09/09/2024,45,1,1640,Pizza congelada,Congelados,12400
403,15/08/2024,300,6,1437,Arroz,Conservas,3400
404,01/12/2024,72,3,2455,Cerveza,Bebidas,9200
405,23/03/2024,122,2,3189,Tortas,Panaderia,12200
406,28/12/2024,161,6,1437,Arroz,Conservas,3400
407,22/02/2024,32,3,4929,Manteca,Lacteos,4500
408,05/03/2024,7,5,1619,Pan frances,Panaderia,6500
409,15/12/2024,34,6,4978,Agua mineral,Bebidas,5000
410,26/07/2024,165,5,4769,Manies,Galletitas y Snacks,4400
411,28/07/2024,142,5,3731,Papas fritas,Congelados,6600
412,17/07/2024,170,1,4051,Pollo,Carniceria,14800
413,15/08/2024,137,1,3167,Queso cremoso,Lacteos,13800
414,18/03/2024,151,3,1437,Arroz,Conservas,3400
415,17/10/2024,148,1,2800,Zanahorias,Frutas y Verduras,2600
416,22/03/2024,110,2,2455,Cerveza,Bebidas,9200
417,28/09/2024,40,6,3140,Milanesa,Carniceria,13000
418,09/08/2024,252,4,5057,Galletitas de chocolate,Galletitas y Snacks,5000
419,01/05/2024,149,2,3358,Yogur,Lacteos,4200
420,04/02/2024,259,1,5057,Galletitas de chocolate,Galletitas y Snacks,5000
421,18/04/2024,86,3,3637,Jugos de frutas,Bebidas,7600
422,10/05/2024,81,2,1726,Salchicha,Carniceria,9000
423,26/10/2024,34,6,4978,Agua mineral,Bebidas,5000
424,05/12/2024,259,5,3358,Yogur,Lacteos,4200
425,02/06/2024,138,5,4929,Manteca,Lacteos,4500
426,13/03/2024,100,4,3383,Manzanas,Frutas y Verduras,5200
